1,absorb,learn,0.55
2,absorb,withdraw,0.3
3,achieve,accomplish,0.86
4,achieve,try,0.44
6,acquire,get,0.88
7,acquire,obtain,0.86
8,acquire,find,0.64
11,apple,sauce,0.14
12,apple,lemon,0.41
13,apple,sunshine,0.06
14,area,region,0.95
16,area,corner,0.21
17,arm,shoulder,0.49
20,arm,body,0.41
21,arm,vein,0.37
22,arm,knee,0.28
23,arm,bone,0.38
24,arm,neck,0.16
25,ball,cannon,0.26
26,ball,basket,0.17
29,bath,trick,0.06
30,bath,wife,0.05
31,bath,balloon,0.04
32,bed,bedroom,0.34
33,bed,blanket,0.3
34,bed,crib,0.73
35,bed,hospital,0.09
38,bed,chair,0.35
39,belief,opinion,0.77
40,belief,concept,0.51
41,belief,impression,0.6
42,belief,flower,0.04
43,bird,hawk,0.79
44,bird,turkey,0.66
45,bird,hen,0.7
46,bird,cock,0.71
48,bone,jaw,0.42
49,bone,ankle,0.38
50,bone,knee,0.42
51,bone,neck,0.25
52,bone,teeth,0.42
53,bone,elbow,0.38
55,book,literature,0.75
56,book,story,0.56
57,book,bible,0.5
58,book,topic,0.21
59,book,information,0.5
60,book,essay,0.47
61,book,article,0.54
62,book,theme,0.26
64,boy,brother,0.67
65,boy,soldier,0.22
67,cat,lion,0.68
68,cat,pet,0.6
69,cat,rabbit,0.24
72,clothes,drawer,0.3
73,clothes,fabric,0.59
74,clothes,button,0.23
75,clothes,coat,0.54
76,clothes,jacket,0.52
77,create,make,0.87
80,create,destroy,0.06
81,cup,cone,0.32
82,cup,jar,0.51
83,cup,tableware,0.69
84,cup,artifact,0.29
85,cup,object,0.37
86,cup,entity,0.22
87,cup,food,0.5
88,cup,article,0.24
89,cup,substance,0.19
90,drink,eat,0.69
91,drink,car,0.3
92,drink,mother,0.27
93,drink,ear,0.13
94,father,parent,0.71
95,father,daughter,0.26
96,father,brother,0.42
97,father,god,0.36
98,flower,violet,0.7
99,flower,bulb,0.45
100,flower,endurance,0.04
102,glass,metal,0.56
103,glass,magician,0.21
104,guy,stud,0.58
105,guy,partner,0.36
106,guy,girl,0.33
107,horse,mare,0.83
109,horse,ox,0.3
110,join,add,0.81
111,join,marry,0.54
112,join,acquire,0.29
113,king,princess,0.33
114,king,queen,0.86
115,king,rook,0.59
116,king,cabbage,0.02
117,lose,fail,0.73
118,lose,keep,0.11
119,lose,get,0.08
120,man,uncle,0.39
121,man,father,0.48
122,man,child,0.41
123,man,victor,0.19
124,man,sentry,0.33
125,man,husband,0.53
126,man,warrior,0.47
127,man,woman,0.83
128,man,governor,0.53
129,meat,bacon,0.58
131,meat,bread,0.17
132,media,radio,0.74
133,media,trading,0.39
135,money,salary,0.79
136,money,pearl,0.21
137,money,diamond,0.34
138,money,cash,0.92
140,precedent,antecedent,0.6
141,precedent,information,0.39
142,precedent,cognition,0.28
144,precedent,group,0.18
145,situation,condition,0.66
146,situation,conclusion,0.48
147,situation,isolation,0.39
148,street,alley,0.55
149,street,car,0.24
150,street,place,0.64
151,street,avenue,0.89
155,take,obtain,0.71
156,take,receive,0.51
157,take,carry,0.52
158,take,deliver,0.44
160,take,leave,0.25
161,tiger,feline,0.8
162,tiger,carnivore,0.71
163,tiger,mammal,0.69
164,tiger,animal,0.7
165,tiger,organism,0.48
166,tiger,fauna,0.56
167,woman,secretary,0.2
168,woman,wife,0.57
172,happy,cheerful,0.96
173,happy,young,0.2
174,car,horn,0.26
175,car,highway,0.34
176,car,gauge,0.11
177,car,cab,0.74
178,bad,immoral,0.76
179,bad,great,0.04
181,accept,deliver,0.16
182,accept,believe,0.68
4012,journey,long distance,0.4
4013,area,long distance,0.1
5001,student, war criminal,0.2
3002,jet, war criminal,0.5
7001,flood relief,canal restoration,0.75
7002,flood relief,horn,0.17
7003,paddle gearing,lock gate,0.71
7004,paddle gearing,reverse gates,0.03
10,weird,strange,0.89
34,weird,normal,0.07